"tanggal","positif_kumulatif","sembuh_kumulatif","meninggal_kumulatif","positif_harian","sembuh_harian","meninggal_harian","perawatan_kumulatif","perawatan_harian","persentase_sembuh","persentase_meninggal"
2020-03-02,2,0,0,2,0,0,2,2,0,0
2020-03-03,2,0,0,0,0,0,2,0,0,0
2020-03-04,2,0,0,0,0,0,2,0,0,0
2020-03-05,2,0,0,0,0,0,2,0,0,0
2020-03-06,4,0,0,2,0,0,4,2,0,0
2020-03-07,4,0,0,0,0,0,4,0,0,0
2020-03-08,6,0,0,2,0,0,6,2,0,0
2020-03-09,19,0,0,13,0,0,19,13,0,0
2020-03-10,27,2,0,8,2,0,25,6,7.407407407,0
2020-03-11,34,2,1,7,0,1,31,6,5.882352941,2.941176471
2020-03-12,34,2,1,0,0,0,31,0,5.882352941,2.941176471
2020-03-13,69,2,4,35,0,3,63,32,2.898550725,5.797101449
2020-03-14,96,8,5,27,6,1,83,20,8.333333333,5.208333333
2020-03-15,117,8,5,21,0,0,104,21,6.837606838,4.273504274
2020-03-16,134,8,5,17,0,0,121,17,5.970149254,3.731343284
2020-03-17,172,9,5,38,1,0,158,37,5.23255814,2.906976744
2020-03-18,227,11,19,55,2,14,197,39,4.845814978,8.370044053
2020-03-19,309,15,25,82,4,6,269,72,4.854368932,8.090614887
2020-03-20,369,17,32,60,2,7,320,51,4.60704607,8.672086721
2020-03-21,450,20,38,81,3,6,392,72,4.444444444,8.444444444
2020-03-22,514,29,48,64,9,10,437,45,5.642023346,9.338521401
2020-03-23,579,30,49,65,1,1,500,63,5.18134715,8.462867012
2020-03-24,686,30,55,106,0,6,601,101,4.373177843,8.017492711
2020-03-25,790,31,58,105,1,3,701,100,3.924050633,7.341772152
2020-03-26,893,35,78,103,4,20,780,79,3.9193729,8.734602464
2020-03-27,1046,46,87,153,11,9,913,133,4.397705545,8.317399618
2020-03-28,1155,59,102,109,13,15,994,81,5.108225108,8.831168831
2020-03-29,1285,64,114,130,5,12,1107,113,4.980544747,8.871595331
2020-03-30,1414,75,122,129,11,8,1217,110,5.304101839,8.628005658
2020-03-31,1528,81,136,114,6,14,1311,94,5.30104712,8.90052356
