Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
1,2020/03/02 00:00:00+00,2,0,0,2,2,0,0,2,0,0,100,,339,335,,,,,3732,62649,4327144,2730231,33797,389712,2340519,13439,33504,168918,34,501,2020/10/25 08:40:10+00,1
2,2020/03/03 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,341,337,,2,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,2
3,2020/03/04 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,372,356,,31,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,3
4,2020/03/05 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,388,371,,16,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,4
5,2020/03/06 00:00:00+00,4,0,0,4,2,0,0,2,0,0,100,,450,422,,62,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,5
6,2020/03/07 00:00:00+00,4,0,0,4,0,0,0,0,0,0,100,,454,422,,4,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,6
7,2020/03/08 00:00:00+00,6,0,0,6,2,0,0,2,0,0,100,,483,445,,29,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,7
8,2020/03/09 00:00:00+00,19,0,0,19,13,0,0,13,0,0,100,,543,487,,60,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,8
9,2020/03/10 00:00:00+00,27,2,0,25,8,2,0,6,7.407407407,0,92.59259259,,694,648,,151,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,9
10,2020/03/11 00:00:00+00,34,2,1,31,7,0,1,6,5.882352941,2.941176471,91.17647059,,793,744,,99,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,10
11,2020/03/12 00:00:00+00,34,2,1,31,0,0,0,0,5.882352941,2.941176471,91.17647059,,862,811,,69,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,11
12,2020/03/13 00:00:00+00,69,2,4,63,35,0,3,32,2.898550725,5.797101449,91.30434783,,1005,917,,143,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,12
13,2020/03/14 00:00:00+00,96,8,5,83,27,6,1,20,8.333333333,5.208333333,86.45833333,,1205,1109,,200,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,13
14,2020/03/15 00:00:00+00,117,8,5,104,21,0,0,21,6.837606838,4.273504274,88.88888889,,1293,1167,,88,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,14
15,2020/03/16 00:00:00+00,134,8,5,121,17,0,0,17,5.970149254,3.731343284,90.29850746,,1230,1083,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,15
16,2020/03/17 00:00:00+00,172,9,5,158,38,1,0,37,5.23255814,2.906976744,91.86046512,,1372,1178,,120,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,16
17,2020/03/18 00:00:00+00,227,11,19,197,55,2,14,39,4.845814978,8.370044053,86.78414097,,1592,1342,,197,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,17
18,2020/03/19 00:00:00+00,309,15,25,269,82,4,6,72,4.854368932,8.090614887,87.05501618,,1898,1570,,287,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,18
19,2020/03/20 00:00:00+00,369,17,32,320,60,2,7,51,4.60704607,8.672086721,86.72086721,,2028,1643,,112,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,19
20,2020/03/21 00:00:00+00,450,20,38,392,81,3,6,72,4.444444444,8.444444444,87.11111111,,2365,1895,,317,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,20
21,2020/03/22 00:00:00+00,514,29,48,437,64,9,10,45,5.642023346,9.338521401,85.01945525,,2438,1904,,53,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,21
22,2020/03/23 00:00:00+00,579,30,49,500,65,1,1,63,5.18134715,8.462867012,86.35578584,,2756,2177,,318,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,22
23,2020/03/24 00:00:00+00,686,30,55,601,106,0,6,101,4.373177843,8.017492711,87.60932945,,3332,2625,,554,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,23
24,2020/03/25 00:00:00+00,790,31,58,701,105,1,3,100,3.924050633,7.341772152,88.73417722,,3822,3032,,490,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,24
25,2020/03/26 00:00:00+00,893,35,78,780,103,4,20,79,3.9193729,8.734602464,87.34602464,,4336,3443,,514,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,25
26,2020/03/27 00:00:00+00,1046,46,87,913,153,11,9,133,4.397705545,8.317399618,87.28489484,,5775,4729,,1439,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,26
27,2020/03/28 00:00:00+00,1155,59,102,994,109,13,15,81,5.108225108,8.831168831,86.06060606,,6266,5111,,491,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,27
28,2020/03/29 00:00:00+00,1285,64,114,1107,130,5,12,113,4.980544747,8.871595331,86.14785992,,6534,5249,,268,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,28
29,2020/03/30 00:00:00+00,1414,75,122,1217,129,11,8,110,5.304101839,8.628005658,86.0678925,,6663,5249,,129,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,29
30,2020/03/31 00:00:00+00,1528,81,136,1311,114,6,14,94,5.30104712,8.90052356,85.79842932,,6777,5249,,114,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,30
31,2020/04/01 00:00:00+00,1677,103,157,1417,149,22,21,106,6.141920095,9.361955874,84.49612403,,7193,5516,,416,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,31
32,2020/04/02 00:00:00+00,1790,112,170,1508,113,9,13,91,6.25698324,9.497206704,84.24581006,,7425,5635,,232,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,32
33,2020/04/03 00:00:00+00,1986,134,181,1671,196,22,11,163,6.747230614,9.113796576,84.13897281,,7986,5715,,561,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,33
34,2020/04/04 00:00:00+00,2092,150,191,1751,106,16,10,80,7.170172084,9.13001912,83.6998088,,9712,7620,,1726,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,34
35,2020/04/05 00:00:00+00,2273,164,198,1911,181,14,7,160,7.215134184,8.710954685,84.07391113,,11242,8969,,153,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,35
36,2020/04/06 00:00:00+00,2491,192,209,2090,218,28,11,179,7.707747892,8.390204737,83.90204737,,13186,10695,,1944,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,36
37,2020/04/07 00:00:00+00,2738,204,221,2313,247,12,12,223,7.450693937,8.071585099,84.47772096,,14353,11615,,1167,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,37
38,2020/04/08 00:00:00+00,2956,222,240,2494,218,18,19,181,7.51014885,8.119079838,84.37077131,,16511,13555,,2158,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,38
39,2020/04/09 00:00:00+00,3293,252,280,2761,337,30,40,267,7.652596417,8.502884907,83.84451868,,17679,14386,,1168,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,39
40,2020/04/10 00:00:00+00,3512,282,306,2924,219,30,26,163,8.029612756,8.712984055,83.25740319,,19452,15940,,1773,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,40
41,2020/04/11 00:00:00+00,3842,286,327,3229,330,4,21,305,7.444039563,8.511192087,84.04476835,,19964,16122,,512,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,41
107,2020/06/16 00:00:00+00,40400,15703,2231,22466,1106,580,33,493,38.86881188,5.522277228,55.60891089,540115,339309,298909,17052,10119,13510,29124,,,,,,,,,,,,,1970/01/01 00:00:00+00,42
42,2020/04/12 00:00:00+00,4241,359,373,3509,399,73,46,280,8.464984673,8.795095496,82.73991983,,27075,22834,,7111,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,43
